symbol,name,reportDate,fiscalDateEnding,estimate,currency
ADOOY,ADOOY,4/25/2024,3/31/2024,0.5805,USD
ADP,Automatic Data Processing Inc,4/24/2024,3/31/2024,2.79,USD
ADPT,Adaptive Biotechnologies Corp,5/1/2024,3/31/2024,-0.35,USD
ADSK,Autodesk Inc,2/29/2024,1/31/2024,1.95,USD
ADT,ADT Inc,2/28/2024,12/31/2023,0.04,USD
ADT,ADT Inc,4/30/2024,3/31/2024,0.0846,USD
ADTH,AdTheorent Holding Company Inc,2/29/2024,12/31/2023,0.07,USD
ADTH,AdTheorent Holding Company Inc,5/7/2024,3/31/2024,-0.035,USD
ADTN,ADTRAN Holdings Inc,2/26/2024,12/31/2023,-0.09,USD
ADTN,ADTRAN Holdings Inc,5/6/2024,3/31/2024,-0.0025,USD
ADUS,Addus HomeCare Corporation,2/26/2024,12/31/2023,1.17,USD
ADUS,Addus HomeCare Corporation,4/29/2024,3/31/2024,1.1,USD
ADV,Advantage Solutions Inc - Class A,2/29/2024,12/31/2023,0.13,USD
ADV,Advantage Solutions Inc - Class A,5/8/2024,3/31/2024,0.105,USD
ADVM,Adverum Biotechnologies Inc,3/28/2024,12/31/2023,-0.34,USD
ADVM,Adverum Biotechnologies Inc,5/9/2024,3/31/2024,-0.2325,USD
ADVZF,ADVZF,4/26/2024,3/31/2024,,USD
ADXS,ADXS,2/22/2024,1/31/2024,-1.27,USD
ADXS,ADXS,5/21/2024,4/30/2024,,USD
ADYX,ADYX,3/6/2024,12/31/2023,0,USD
ADYX,ADYX,5/7/2024,3/31/2024,0,USD
AE,Adams Resources & Energy Inc,3/13/2024,12/31/2023,-0.08,USD
AE,Adams Resources & Energy Inc,5/7/2024,3/31/2024,0.28,USD
AEE,Ameren Corp,2/22/2024,12/31/2023,0.61,USD
AEE,Ameren Corp,5/2/2024,3/31/2024,1.2,USD
AEHR,Aehr Test Systems,3/28/2024,2/29/2024,0.13,USD
AEIS,Advanced Energy Industries Inc,5/1/2024,3/31/2024,0.67,USD
AEL,American Equity Investment Life Holding Company,5/6/2024,3/31/2024,1.77,USD
AEM,Agnico Eagle Mines Ltd,4/25/2024,3/31/2024,0.55,USD
AEMMY,AEMMY,3/15/2024,12/31/2023,0,USD
AEMMY,AEMMY,5/14/2024,3/31/2024,0,USD
AEO,American Eagle Outfitters Inc,2/28/2024,11/30/2023,0.3919,USD
AEO,American Eagle Outfitters Inc,3/7/2024,1/31/2024,0.49,USD
AEO,American Eagle Outfitters Inc,5/22/2024,2/29/2024,0.4305,USD
AEO,American Eagle Outfitters Inc,5/22/2024,4/30/2024,0.2283,USD
AEP,American Electric Power Company Inc,2/27/2024,12/31/2023,1.26,USD
AEP,American Electric Power Company Inc,5/2/2024,3/31/2024,1.38,USD
AER,Aercap Holdings N.V.,2/23/2024,12/31/2023,2.45,USD
AER,Aercap Holdings N.V.,4/29/2024,3/31/2024,2.56,USD
AERG,AERG,3/28/2024,12/31/2023,,USD
AERG,AERG,5/10/2024,3/31/2024,,USD
AES,AES Corp,2/26/2024,12/31/2023,0.67,USD
AES,AES Corp,5/2/2024,3/31/2024,0.339,USD
AESI,Atlas Energy Solutions Inc,2/27/2024,12/31/2023,0.57,USD
AESI,Atlas Energy Solutions Inc,5/6/2024,3/31/2024,0.56,USD
AETUF,AETUF,5/2/2024,3/31/2024,0.4694,USD
AEVA,Aeva Technologies Inc,3/5/2024,12/31/2023,-0.15,USD
AEVA,Aeva Technologies Inc,5/8/2024,3/31/2024,-0.128,USD
AEY,AEY,3/19/2024,12/31/2023,,USD
AEYE,AudioEye Inc,3/7/2024,12/31/2023,-0.11,USD
AEYE,AudioEye Inc,5/8/2024,3/31/2024,0.0135,USD
AEYGQ,AEYGQ,3/19/2024,12/31/2023,,USD
AEZS,Aeterna Zentaris Inc,3/21/2024,12/31/2023,-0.97,USD
AEZS,Aeterna Zentaris Inc,5/7/2024,3/31/2024,-0.88,USD
AFBI,Affinity Bancshares Inc,4/25/2024,3/31/2024,,USD
AFCG,AFC Gamma Inc,3/7/2024,12/31/2023,0.5,USD
AFCG,AFC Gamma Inc,5/8/2024,3/31/2024,0.522,USD
AFFY,AFFY,2/28/2024,12/31/2023,0,USD
AFFY,AFFY,5/8/2024,3/31/2024,0,USD
AFG,American Financial Group Inc,4/30/2024,3/31/2024,2.74,USD
AFIB,Acutus Medical Inc,3/14/2024,12/31/2023,-0.62,USD
AFIB,Acutus Medical Inc,5/9/2024,3/31/2024,-0.4721,USD
AFL,Aflac Inc,4/24/2024,3/31/2024,1.59,USD
AFOM,AFOM,5/10/2024,3/31/2024,,USD
AFRM,Affirm Holdings Inc - Class A,5/7/2024,3/31/2024,-0.69,USD
AG,First Majestic Silver Corporation,2/22/2024,12/31/2023,-0.04,USD
AG,First Majestic Silver Corporation,5/2/2024,3/31/2024,0.0438,USD
AGAE,Allied Gaming & Entertainment Inc,3/21/2024,12/31/2023,,USD
AGAE,Allied Gaming & Entertainment Inc,5/9/2024,3/31/2024,,USD
AGBA,AGBA Group Holding Ltd,4/1/2024,3/31/2024,,USD
AGCO,AGCO Corp,4/30/2024,3/31/2024,2.33,USD
AGE,AgeX Therapeutics Inc,3/29/2024,12/31/2023,,USD
AGE,AgeX Therapeutics Inc,5/13/2024,3/31/2024,,USD
AGEN,Agenus Inc,3/12/2024,12/31/2023,-0.05,USD
AGEN,Agenus Inc,5/7/2024,3/31/2024,-0.1682,USD
AGFMF,AGFMF,3/20/2024,2/29/2024,,USD
AGGFF,AGGFF,3/27/2024,12/31/2023,,USD
AGGFF,AGGFF,5/8/2024,3/31/2024,,USD
AGGHF,AGGHF,2/28/2024,12/31/2023,0,USD
AGI,Alamos Gold Inc - Class A,4/24/2024,3/31/2024,0.1495,USD
AGIL,AGIL,5/10/2024,3/31/2024,-0.03,USD
AGILQ,AGILQ,2/22/2024,12/31/2023,-0.11,USD
AGILQ,AGILQ,5/10/2024,3/31/2024,-0.03,USD
AGIO,Agios Pharmaceuticals Inc,5/2/2024,3/31/2024,-1.63,USD
AGL,Agilon Health Inc,2/27/2024,12/31/2023,-0.27,USD
AGL,Agilon Health Inc,5/7/2024,3/31/2024,0.0723,USD
AGLE,AGLE,3/4/2024,12/31/2023,-0.91,USD
AGLE,AGLE,5/9/2024,3/31/2024,,USD
AGM,Federal Agricultural Mortgage Corp - Class C,2/23/2024,12/31/2023,4.05,USD
AGM,Federal Agricultural Mortgage Corp - Class C,5/7/2024,3/31/2024,4.02,USD
AGM-A,Federal Agricultural Mortgage Corp - Class A,2/23/2024,12/31/2023,4.05,USD
AGM-A,Federal Agricultural Mortgage Corp - Class A,5/2/2024,3/31/2024,4.16,USD
AGNC,AGNC Investment Corp,4/22/2024,3/31/2024,0.56,USD
AGO,Assured Guaranty Ltd,2/27/2024,12/31/2023,1.09,USD
AGO,Assured Guaranty Ltd,5/7/2024,3/31/2024,1.19,USD
AGR,Avangrid Inc,2/22/2024,12/31/2023,0.91,USD
AGR,Avangrid Inc,4/23/2024,3/31/2024,0.7167,USD
AGRI,AgriFORCE Growing Systems Ltd,3/13/2024,12/31/2023,-0.02,USD
AGRI,AgriFORCE Growing Systems Ltd,5/9/2024,3/31/2024,,USD
AGRO,Adecoagro S.A.,3/7/2024,12/31/2023,,USD
AGRO,Adecoagro S.A.,5/9/2024,3/31/2024,,USD
AGRX,Agile Therapeutics Inc,3/20/2024,12/31/2023,-0.54,USD
AGRX,Agile Therapeutics Inc,5/9/2024,3/31/2024,,USD
AGS,PlayAGS Inc,3/5/2024,12/31/2023,0.03,USD
AGS,PlayAGS Inc,5/7/2024,3/31/2024,0.0477,USD
AGSS,AGSS,3/18/2024,12/31/2023,,USD
AGSS,AGSS,5/6/2024,3/31/2024,,USD
AGTI,Agiliti Inc,3/5/2024,12/31/2023,0.11,USD
AGTI,Agiliti Inc,5/7/2024,3/31/2024,0.1553,USD
AGX,Argan Inc,4/10/2024,1/31/2024,0.75,USD
AGYS,Agilysys Inc,5/14/2024,3/31/2024,0.28,USD
AHAG,AHAG,3/13/2024,1/31/2024,0,USD
AHCO,AdaptHealth Corp,2/27/2024,12/31/2023,0.18,USD
AHCO,AdaptHealth Corp,5/7/2024,3/31/2024,0.0772,USD
AHH,Armada Hoffler Properties Inc,2/22/2024,12/31/2023,0.06,USD
AHH,Armada Hoffler Properties Inc,5/7/2024,3/31/2024,0.07,USD
AHIX,AHIX,2/28/2024,12/31/2023,0,USD
AHIX,AHIX,5/10/2024,3/31/2024,0,USD
AHOTF,AHOTF,2/27/2024,12/31/2023,,USD
AHOTF,AHOTF,5/2/2024,3/31/2024,,USD
AHPIQ,AHPIQ,5/14/2024,3/31/2024,0,USD
AHT,Ashford Hospitality Trust Inc,4/29/2024,3/31/2024,-1.73,USD
AI,C3.ai Inc - Class A,2/28/2024,1/31/2024,-0.28,USD
AIAD,AIAD,5/15/2024,3/31/2024,,USD
AIFS,AIFS,5/6/2024,3/31/2024,,USD
AIG,American International Group Inc,5/2/2024,3/31/2024,1.71,USD
AILLP,AILLP,5/5/2024,3/31/2024,,USD
AIM,AIM ImmunoTech Inc,3/29/2024,1/31/2024,-0.15,USD
AIM,AIM ImmunoTech Inc,5/13/2024,4/30/2024,-0.115,USD
AIMC,AIMC,2/28/2024,12/31/2023,,USD
AIMD,Ainos Inc,3/29/2024,12/31/2023,,USD
AIMD,Ainos Inc,5/10/2024,3/31/2024,,USD
AIN,Albany International Corp - Class A,2/26/2024,12/31/2023,0.82,USD
AIN,Albany International Corp - Class A,4/23/2024,3/31/2024,0.9275,USD
AINC,Ashford Inc,2/29/2024,12/31/2023,1.88,USD
AINC,Ashford Inc,4/30/2024,3/31/2024,1.73,USD
AIP,Arteris Inc,5/2/2024,3/31/2024,-0.1733,USD
AIR,AAR Corp,3/19/2024,2/29/2024,0.83,USD
AIRC,Apartment Income REIT Corp - Class A,4/29/2024,3/31/2024,0.03,USD
AIRG,Airgain Inc,3/6/2024,12/31/2023,-0.2,USD
AIRG,Airgain Inc,5/9/2024,3/31/2024,-0.1575,USD
AIRI,Air Industries Group,4/2/2024,3/31/2024,,USD
AIRS,Airsculpt Technologies Inc,2/27/2024,12/31/2023,0.02,USD
