symbol,name,reportDate,fiscalDateEnding,estimate,currency
ACKAY,ACKAY,2024-04-24,2024-03-31,0,TRY
ACLLF,ACLLF,2024-02-29,2023-12-31,,CAD
ACLLF,ACLLF,2024-04-25,2024-03-31,,CAD
ACLS,Axcelis Technologies Inc,2024-05-01,2024-03-31,1.24,USD
ACLX,Arcellx Inc,2024-03-21,2023-12-31,-0.5325,USD
ACLX,Arcellx Inc,2024-05-08,2024-03-31,-0.629,USD
ACM,AECOM,2024-05-06,2024-03-31,1.03,USD
ACMR,ACM Research Inc - Class A,2024-02-28,2023-12-31,0.17,USD
ACMR,ACM Research Inc - Class A,2024-05-03,2024-03-31,0.1643,USD
ACMTA,ACMTA,2024-03-15,2023-12-31,,USD
ACMTA,ACMTA,2024-05-06,2024-03-31,,USD
ACN,Accenture plc - Class A,2024-03-21,2024-02-29,2.66,USD
ACNB,ACNB Corp,2024-04-25,2024-03-31,0.79,USD
ACNT,Ascent Industries Company,2024-03-29,2023-12-31,-0.08,USD
ACNT,Ascent Industries Company,2024-05-07,2024-03-31,0.17,USD
ACON,Aclarion Inc,2024-02-28,2023-12-31,-1.6,USD
ACOR,Acorda Therapeutics Inc,2024-03-07,2023-12-31,,USD
ACOR,Acorda Therapeutics Inc,2024-05-02,2024-03-31,,USD
ACR,ACRES Commercial Realty Corp,2024-02-28,2023-12-31,0.47,USD
ACR,ACRES Commercial Realty Corp,2024-05-01,2024-03-31,0.41,USD
ACRE,Ares Commercial Real Estate Corp,2024-02-22,2023-12-31,-0.01,USD
ACRE,Ares Commercial Real Estate Corp,2024-04-30,2024-03-31,0.2714,USD
ACRG,ACRG,2024-04-17,2024-03-31,,USD
ACRHF,ACRHF,2024-03-20,2023-12-31,,USD
ACRHF,ACRHF,2024-05-20,2024-03-31,,USD
ACRS,Aclaris Therapeutics Inc,2024-05-06,2024-03-31,-0.3159,USD
ACRV,Acrivon Therapeutics Inc,2024-03-26,2023-12-31,-0.72,USD
ACRV,Acrivon Therapeutics Inc,2024-05-07,2024-03-31,-0.79,USD
ACRX,ACRX,2024-03-28,2023-12-31,-0.18,USD
ACRX,ACRX,2024-05-08,2024-03-31,,USD
ACSAY,ACSAY,2024-02-29,2023-12-31,0.1275,EUR
ACSAY,ACSAY,2024-05-09,2024-03-31,0,EUR
ACT,Enact Holdings Inc,2024-05-01,2024-03-31,0.94,USD
ACTG,Acacia Research Corp,2024-03-14,2023-12-31,0.07,USD
ACTG,Acacia Research Corp,2024-05-09,2024-03-31,0.15,USD
ACTHF,ACTHF,2024-04-25,2024-02-29,,USD
ACU,Acme United Corp,2024-02-29,2023-12-31,0.55,USD
ACU,Acme United Corp,2024-04-19,2024-03-31,0.57,USD
ACUR,ACUR,2024-02-28,2023-12-31,0,USD
ACUS,ACUS,2024-02-28,2023-12-31,0,USD
ACUS,ACUS,2024-05-10,2024-03-31,0,USD
ACVA,ACV Auctions Inc - Class A,2024-05-08,2024-03-31,0.0191,USD
ACWRF,ACWRF,2024-03-22,2023-12-31,,CAD
ACWRF,ACWRF,2024-05-22,2024-03-31,,CAD
ACXP,Acurx Pharmaceuticals Inc,2024-03-14,2023-12-31,-0.26,USD
ACXP,Acurx Pharmaceuticals Inc,2024-05-10,2024-03-31,-0.2267,USD
ADAG,Adagene Inc,2024-03-28,2023-12-31,-1.23,USD
ADAP,Adaptimmune Therapeutics Plc,2024-03-06,2023-12-31,-0.1,USD
ADAP,Adaptimmune Therapeutics Plc,2024-05-06,2024-03-31,-0.1358,USD
ADBE,Adobe Inc,2024-03-14,2024-02-29,4.06,USD
ADBRF,ADBRF,2024-02-28,2023-12-31,,USD
ADC,Agree Realty Corp,2024-05-02,2024-03-31,0.45,USD
ADCOF,ADCOF,2024-03-27,2023-12-31,,USD
ADCOF,ADCOF,2024-05-08,2024-03-31,,USD
ADCT,Adc Therapeutics SA,2024-02-26,2023-12-31,-0.5,USD
ADCT,Adc Therapeutics SA,2024-05-07,2024-03-31,-0.5149,USD
ADDYY,ADDYY,2024-03-13,2023-12-31,-1.01,EUR
ADDYY,ADDYY,2024-04-30,2024-03-31,0.1446,EUR
ADEA,Adeia Inc,2024-05-06,2024-03-31,0.33,USD
ADER,ADER,2024-04-15,2024-03-31,,USD
ADERY,ADERY,2024-05-14,2024-03-31,0,JPY
ADES,ADES,2024-03-06,2023-12-31,-0.08,USD
ADES,ADES,2024-05-07,2024-03-31,,USD
ADFJF,ADFJF,2024-04-11,2024-01-31,,CAD
ADFS,ADFS,2024-02-28,2023-12-31,0,USD
ADFS,ADFS,2024-05-13,2024-03-31,0,USD
ADI,Analog Devices Inc,2024-05-22,2024-04-30,1.6,USD
ADIL,Adial Pharmaceuticals Inc,2024-03-28,2023-12-31,-0.99,USD
ADIL,Adial Pharmaceuticals Inc,2024-05-10,2024-03-31,,USD
ADM,Archer Daniels Midland Company,2024-04-23,2024-03-31,1.72,USD
ADMA,Adma Biologics Inc,2024-05-08,2024-03-31,0.0225,USD
ADMLF,ADMLF,2024-03-28,2023-12-31,-0.04,USD
ADMP,ADMP,2024-03-14,2023-12-31,,USD
ADMP,ADMP,2024-05-13,2024-03-31,,USD
ADN,Advent Technologies Holdings Inc - Class A,2024-03-29,2023-12-31,-0.15,USD
ADN,Advent Technologies Holdings Inc - Class A,2024-05-13,2024-03-31,,USD
ADNT,Adient plc,2024-05-02,2024-03-31,0.5385,USD
ADOOY,ADOOY,2024-03-05,2023-12-31,0.656,USD
ADOOY,ADOOY,2024-04-25,2024-03-31,0.5805,USD
ADP,Automatic Data Processing Inc,2024-04-24,2024-03-31,2.79,USD
ADPT,Adaptive Biotechnologies Corp,2024-05-01,2024-03-31,-0.35,USD
ADRNY,ADRNY,2024-05-08,2024-03-31,0.663,EUR
ADRZY,ADRZY,2024-02-29,2023-12-31,0.3123,EUR
ADRZY,ADRZY,2024-04-25,2024-03-31,0,EUR
ADSK,Autodesk Inc,2024-02-29,2024-01-31,1.95,USD
ADT,ADT Inc,2024-02-28,2023-12-31,0.04,USD
ADT,ADT Inc,2024-04-30,2024-03-31,0.0846,USD
ADTH,AdTheorent Holding Company Inc,2024-02-29,2023-12-31,0.07,USD
ADTH,AdTheorent Holding Company Inc,2024-05-07,2024-03-31,-0.035,USD
ADTN,ADTRAN Holdings Inc,2024-02-26,2023-12-31,-0.09,USD
ADTN,ADTRAN Holdings Inc,2024-05-06,2024-03-31,-0.0025,USD
ADUS,Addus HomeCare Corporation,2024-02-26,2023-12-31,1.17,USD
ADUS,Addus HomeCare Corporation,2024-04-29,2024-03-31,1.1,USD
ADV,Advantage Solutions Inc - Class A,2024-02-29,2023-12-31,0.13,USD
ADV,Advantage Solutions Inc - Class A,2024-05-08,2024-03-31,0.105,USD
ADVM,Adverum Biotechnologies Inc,2024-03-28,2023-12-31,-0.34,USD
ADVM,Adverum Biotechnologies Inc,2024-05-09,2024-03-31,-0.2325,USD
ADVZF,ADVZF,2024-04-26,2024-03-31,,USD
ADXN,Addex Therapeutics Ltd,2024-04-30,2024-03-31,-0.0309,CHF
ADXS,ADXS,2024-02-22,2024-01-31,-1.27,USD
ADXS,ADXS,2024-05-21,2024-04-30,,USD
ADYX,ADYX,2024-03-06,2023-12-31,0,USD
ADYX,ADYX,2024-05-07,2024-03-31,0,USD
AE,Adams Resources & Energy Inc,2024-03-13,2023-12-31,-0.08,USD
AE,Adams Resources & Energy Inc,2024-05-07,2024-03-31,0.28,USD
AEBZY,AEBZY,2024-03-06,2023-12-31,0.0139,TRY
AEBZY,AEBZY,2024-05-08,2024-03-31,0.0155,TRY
AEE,Ameren Corp,2024-02-22,2023-12-31,0.61,USD
AEE,Ameren Corp,2024-05-02,2024-03-31,1.2,USD
AEGXF,AEGXF,2024-03-05,2023-12-31,,CAD
AEGXF,AEGXF,2024-04-23,2024-03-31,,CAD
AEHR,Aehr Test Systems,2024-03-28,2024-02-29,0.13,USD
AEIS,Advanced Energy Industries Inc,2024-05-01,2024-03-31,0.67,USD
AEL,American Equity Investment Life Holding Company,2024-05-06,2024-03-31,1.77,USD
AEM,Agnico Eagle Mines Ltd,2024-04-25,2024-03-31,0.55,USD
AEMMY,AEMMY,2024-03-15,2023-12-31,0,USD
AEMMY,AEMMY,2024-05-14,2024-03-31,0,USD
AEO,American Eagle Outfitters Inc,2024-02-28,2023-11-30,0.3919,USD
AEO,American Eagle Outfitters Inc,2024-03-07,2024-01-31,0.49,USD
AEO,American Eagle Outfitters Inc,2024-05-22,2024-02-29,0.4305,USD
AEO,American Eagle Outfitters Inc,2024-05-22,2024-04-30,0.2283,USD
AEP,American Electric Power Company Inc,2024-02-27,2023-12-31,1.26,USD
AEP,American Electric Power Company Inc,2024-05-02,2024-03-31,1.38,USD
AER,Aercap Holdings N.V.,2024-02-23,2023-12-31,2.45,USD
AER,Aercap Holdings N.V.,2024-04-29,2024-03-31,2.56,USD
AERG,AERG,2024-03-28,2023-12-31,,USD
AERG,AERG,2024-05-10,2024-03-31,,USD
AES,AES Corp,2024-02-26,2023-12-31,0.67,USD
AES,AES Corp,2024-05-02,2024-03-31,0.339,USD
AESI,Atlas Energy Solutions Inc,2024-02-27,2023-12-31,0.57,USD
AESI,Atlas Energy Solutions Inc,2024-05-06,2024-03-31,0.56,USD
AETUF,AETUF,2024-05-02,2024-03-31,0.4694,USD
AEVA,Aeva Technologies Inc,2024-03-05,2023-12-31,-0.15,USD
AEVA,Aeva Technologies Inc,2024-05-08,2024-03-31,-0.128,USD
AEXAY,AEXAY,2024-02-29,2023-12-31,0,EUR
AEXAY,AEXAY,2024-05-14,2024-03-31,0,EUR
AEY,AEY,2024-03-19,2023-12-31,,USD
AEYE,AudioEye Inc,2024-03-07,2023-12-31,-0.11,USD
AEYE,AudioEye Inc,2024-05-08,2024-03-31,0.0135,USD
AEYGQ,AEYGQ,2024-03-19,2023-12-31,,USD
AEZS,Aeterna Zentaris Inc,2024-03-21,2023-12-31,-0.97,USD
AEZS,Aeterna Zentaris Inc,2024-05-07,2024-03-31,-0.88,USD
AFBI,Affinity Bancshares Inc,2024-04-25,2024-03-31,,USD
AFCG,AFC Gamma Inc,2024-03-07,2023-12-31,0.5,USD
AFCG,AFC Gamma Inc,2024-05-08,2024-03-31,0.522,USD
AFFY,AFFY,2024-02-28,2023-12-31,0,USD
AFFY,AFFY,2024-05-08,2024-03-31,0,USD
AFG,American Financial Group Inc,2024-04-30,2024-03-31,2.74,USD
AFGVY,AFGVY,2024-03-13,2023-12-31,0,EUR
AFGVY,AFGVY,2024-05-14,2024-03-31,0,EUR
AFIB,Acutus Medical Inc,2024-03-14,2023-12-31,-0.62,USD
AFIB,Acutus Medical Inc,2024-05-09,2024-03-31,-0.4721,USD
AFL,Aflac Inc,2024-04-24,2024-03-31,1.59,USD
AFLYY,AFLYY,2024-02-29,2023-12-31,-0.03,EUR
AFLYY,AFLYY,2024-04-30,2024-03-31,0,EUR
AFMD,Affimed N.V.,2024-03-21,2023-12-31,-0.17,EUR
AFMD,Affimed N.V.,2024-05-21,2024-03-31,-0.1567,EUR
AFOM,AFOM,2024-05-10,2024-03-31,,USD
AFRM,Affirm Holdings Inc - Class A,2024-05-07,2024-03-31,-0.69,USD
AFYA,Afya Ltd - Class A,2024-03-14,2023-12-31,0.31,BRL
AFYA,Afya Ltd - Class A,2024-05-13,2024-03-31,,BRL
AG,First Majestic Silver Corporation,2024-02-22,2023-12-31,-0.04,USD
AG,First Majestic Silver Corporation,2024-05-02,2024-03-31,0.0438,USD
AGAE,Allied Gaming & Entertainment Inc,2024-03-21,2023-12-31,,USD
AGAE,Allied Gaming & Entertainment Inc,2024-05-09,2024-03-31,,USD
AGBA,AGBA Group Holding Ltd,2024-04-01,2024-03-31,,USD
AGCCF,AGCCF,2024-03-29,2023-12-31,,CAD
AGCCF,AGCCF,2024-05-17,2024-03-31,,CAD
AGCO,AGCO Corp,2024-04-30,2024-03-31,2.33,USD
AGDXF,AGDXF,2024-02-23,2023-12-31,,CAD
AGE,AgeX Therapeutics Inc,2024-03-29,2023-12-31,,USD
AGE,AgeX Therapeutics Inc,2024-05-13,2024-03-31,,USD
AGEN,Agenus Inc,2024-03-12,2023-12-31,-0.05,USD
AGEN,Agenus Inc,2024-05-07,2024-03-31,-0.1682,USD
AGESY,AGESY,2024-02-28,2023-12-31,1.61,EUR
AGESY,AGESY,2024-05-15,2024-03-31,1.77,EUR
AGFAF,AGFAF,2024-05-02,2024-03-31,,CAD
AGFMF,AGFMF,2024-03-20,2024-02-29,,USD
AGGFF,AGGFF,2024-03-27,2023-12-31,,USD
AGGFF,AGGFF,2024-05-08,2024-03-31,,USD
AGGHF,AGGHF,2024-02-28,2023-12-31,0,USD
AGGZF,AGGZF,2024-03-05,2023-12-31,,CAD
AGGZF,AGGZF,2024-05-06,2024-03-31,,CAD
AGI,Alamos Gold Inc - Class A,2024-04-24,2024-03-31,0.1495,USD
AGIL,AGIL,2024-05-10,2024-03-31,-0.03,USD
AGILQ,AGILQ,2024-02-22,2023-12-31,-0.11,USD
AGILQ,AGILQ,2024-05-10,2024-03-31,-0.03,USD
AGIO,Agios Pharmaceuticals Inc,2024-05-02,2024-03-31,-1.63,USD
AGL,Agilon Health Inc,2024-02-27,2023-12-31,-0.27,USD
AGL,Agilon Health Inc,2024-05-07,2024-03-31,0.0723,USD
AGLE,AGLE,2024-03-04,2023-12-31,-0.91,USD
AGLE,AGLE,2024-05-09,2024-03-31,,USD
AGM,Federal Agricultural Mortgage Corp - Class C,2024-02-23,2023-12-31,4.05,USD
AGM,Federal Agricultural Mortgage Corp - Class C,2024-05-07,2024-03-31,4.02,USD
AGM-A,Federal Agricultural Mortgage Corp - Class A,2024-02-23,2023-12-31,4.05,USD
AGM-A,Federal Agricultural Mortgage Corp - Class A,2024-05-02,2024-03-31,4.16,USD
AGMJF,AGMJF,2024-02-26,2023-12-31,,CAD
AGMJF,AGMJF,2024-05-01,2024-03-31,,CAD
AGNC,AGNC Investment Corp,2024-04-22,2024-03-31,0.56,USD
AGO,Assured Guaranty Ltd,2024-02-27,2023-12-31,1.09,USD
AGO,Assured Guaranty Ltd,2024-05-07,2024-03-31,1.19,USD
AGPYY,AGPYY,2024-03-20,2023-12-31,0,CNY
AGR,Avangrid Inc,2024-02-22,2023-12-31,0.91,USD
AGR,Avangrid Inc,2024-04-23,2024-03-31,0.7167,USD
AGRI,AgriFORCE Growing Systems Ltd,2024-03-13,2023-12-31,-0.02,USD
AGRI,AgriFORCE Growing Systems Ltd,2024-05-09,2024-03-31,,USD
AGRO,Adecoagro S.A.,2024-03-07,2023-12-31,,USD
AGRO,Adecoagro S.A.,2024-05-09,2024-03-31,,USD
AGRPY,AGRPY,2024-03-11,2023-12-31,0,ZAR
AGRX,Agile Therapeutics Inc,2024-03-20,2023-12-31,-0.54,USD
AGRX,Agile Therapeutics Inc,2024-05-09,2024-03-31,,USD
AGS,PlayAGS Inc,2024-03-05,2023-12-31,0.03,USD
AGS,PlayAGS Inc,2024-05-07,2024-03-31,0.0477,USD
AGSS,AGSS,2024-03-18,2023-12-31,,USD
AGSS,AGSS,2024-05-06,2024-03-31,,USD
AGSVF,AGSVF,2024-02-28,2023-12-31,,CAD
AGTI,Agiliti Inc,2024-03-05,2023-12-31,0.11,USD
AGTI,Agiliti Inc,2024-05-07,2024-03-31,0.1553,USD
AGX,Argan Inc,2024-04-10,2024-01-31,0.75,USD
AGYS,Agilysys Inc,2024-05-14,2024-03-31,0.28,USD
AHAG,AHAG,2024-03-13,2024-01-31,0,USD
AHCHY,AHCHY,2024-03-20,2023-12-31,0.3183,CNY
AHCHY,AHCHY,2024-04-24,2024-03-31,0.2655,CNY
AHCO,AdaptHealth Corp,2024-02-27,2023-12-31,0.18,USD
AHCO,AdaptHealth Corp,2024-05-07,2024-03-31,0.0772,USD
AHEXY,AHEXY,2024-02-29,2023-12-31,0.5958,EUR
AHEXY,AHEXY,2024-05-07,2024-03-31,0.5001,EUR
AHFCF,AHFCF,2024-03-26,2023-12-31,,CAD
AHH,Armada Hoffler Properties Inc,2024-02-22,2023-12-31,0.06,USD
AHH,Armada Hoffler Properties Inc,2024-05-07,2024-03-31,0.07,USD
AHIX,AHIX,2024-02-28,2023-12-31,0,USD
AHIX,AHIX,2024-05-10,2024-03-31,0,USD
AHKSY,AHKSY,2024-05-10,2024-03-31,0.2512,JPY
AHOTF,AHOTF,2024-02-27,2023-12-31,,USD
AHOTF,AHOTF,2024-05-02,2024-03-31,,USD
AHPIQ,AHPIQ,2024-05-14,2024-03-31,0,USD
AHT,Ashford Hospitality Trust Inc,2024-04-29,2024-03-31,-1.73,USD
AI,C3.ai Inc - Class A,2024-02-28,2024-01-31,-0.28,USD
AIAD,AIAD,2024-05-15,2024-03-31,,USD
AIAGY,AIAGY,2024-05-08,2024-03-31,0.521,EUR
AIFLF,AIFLF,2024-05-08,2024-03-31,,JPY
AIFLY,AIFLY,2024-05-08,2024-03-31,0,JPY
AIFS,AIFS,2024-05-06,2024-03-31,,USD
AIG,American International Group Inc,2024-05-02,2024-03-31,1.71,USD
AIH,Aesthetic Medical International Holdings Group Ltd,2024-04-19,2024-03-31,,CNY
AILLP,AILLP,2024-05-05,2024-03-31,,USD
AIM,AIM ImmunoTech Inc,2024-03-29,2024-01-31,-0.15,USD
AIM,AIM ImmunoTech Inc,2024-05-13,2024-04-30,-0.115,USD
AIMC,AIMC,2024-02-28,2023-12-31,,USD
AIMD,Ainos Inc,2024-03-29,2023-12-31,,USD
AIMD,Ainos Inc,2024-05-10,2024-03-31,,USD
AIMFF,AIMFF,2024-03-14,2023-12-31,,CAD
AIMFF,AIMFF,2024-05-10,2024-03-31,,CAD
AIN,Albany International Corp - Class A,2024-02-26,2023-12-31,0.82,USD
AIN,Albany International Corp - Class A,2024-04-23,2024-03-31,0.9275,USD
AINC,Ashford Inc,2024-02-29,2023-12-31,1.88,USD
AINC,Ashford Inc,2024-04-30,2024-03-31,1.73,USD
AIP,Arteris Inc,2024-05-02,2024-03-31,-0.1733,USD
AIQUY,AIQUY,2024-04-24,2024-03-31,0,EUR
AIR,AAR Corp,2024-03-19,2024-02-29,0.83,USD
AIRC,Apartment Income REIT Corp - Class A,2024-04-29,2024-03-31,0.03,USD
AIRG,Airgain Inc,2024-03-06,2023-12-31,-0.2,USD
AIRG,Airgain Inc,2024-05-09,2024-03-31,-0.1575,USD
AIRI,Air Industries Group,2024-04-02,2024-03-31,,USD
AIRS,Airsculpt Technologies Inc,2024-02-27,2023-12-31,0.02,USD
AIRS,Airsculpt Technologies Inc,2024-05-10,2024-03-31,0.0733,USD
AIRYY,AIRYY,2024-03-29,2023-12-31,0.2244,CNY
AIRYY,AIRYY,2024-04-26,2024-03-31,2.33,CNY
